text,label
"Ребята, у меня подкаст про предпринимательство, слушают около 20к человек каждый выпуск. Хочу найти постоянного рекламного партнёра для упоминания в начале и конце эпизодов. Аудитория — действующие предприниматели и те, кто только начинает свой бизнес. Если ваш продукт для них — пишите, обсудим условия!",Сотрудничество_и_реклама
Здраствуйте хочу узнать про парнёрскую прогамму есть ли у вас такая и как подключиться,Сотрудничество_и_реклама
"При переходе на новое устройство все мои покупки оказались недоступны. Аккаунт тот же, но купленный контент не отображается.",Гейминг_и_донат
Качество ужасное,Качество_товара_или_услуги
вклад застрахован АСВ,Вклады_и_инвестиции
"В игровом магазине исчез набор, который я добавил в избранное. Хочу его приобрести, но теперь его нигде нет.",Гейминг_и_донат
"Я хочу вложить 200 000 рублей на 1 год. Сравниваю несколько вариантов: ваш вклад под 14,8%, ОФЗ с доходностью 15,2% и корпоративные облигации крупных компаний с доходностью 16,5%. Помогите понять реальную разницу с учётом налогообложения и рисков — что в итоге принесёт больше на руки?",Вклады_и_инвестиции
"Подскажите пожалуйста как восстановить доступ к старому аккаунту. Я играл под ником Иван И. примерно год назад, потом сделал перерыв. Теперь хочу вернуться, но почта, к которой был привязан аккаунт, уже не работает.",Гейминг_и_донат
"Здравствуйте! Мы представляем международную компанию в сфере финансовых технологий. В рамках выхода на российский рынок мы ищем надёжного медиапартнёра для проведения масштабной рекламной кампании. Нас интересует полный спектр рекламных возможностей вашей платформы: баннеры, нативные статьи, email-рассылки и участие в партнёрских программах. Просим выслать подробную информацию о форматах сотрудничества и актуальный прайс-лист на указанный адрес электронной почты.",Сотрудничество_и_реклама
как пополнить ИИС онлайн,Вклады_и_инвестиции
ипотека под маткапитал,Кредиты_и_ипотеки
поручитель по кредиту нужен,Кредиты_и_ипотеки
Совсем не то заказывал,Качество_товара_или_услуги
ставка по ипотеке высокая,Кредиты_и_ипотеки
Ищем партнёров для роста,Сотрудничество_и_реклама
Нет звука в игре,Гейминг_и_донат
"Добрый день! Мы производитель умной бытовой техники и активно ищем новые каналы продвижения. Ваша аудитория нам интересна, поскольку это технологически грамотные пользователи, которые ценят инновации. Хотели бы обсудить возможность комплексного сотрудничества: от спонсорства контента до размещения видеообзоров нашей техники. Просим связать нас с менеджером по рекламным партнёрствам.",Сотрудничество_и_реклама
можно ли перенести дату платежа,Кредиты_и_ипотеки
"Вы знаете, я вообще-то доверяю вашему банку, но последнее время начитался в интернете всяких историй о том, как люди теряли деньги на инвестиционных продуктах, которые банки продавали под видом вкладов. У меня сейчас есть 800 000 рублей, хочу их вложить на 2-3 года. Хочу максимальной ясности: что из ваших продуктов является настоящим застрахованным банковским вкладом, а что — инвестицией с риском потери средств? Пожалуйста, ответьте честно и подробно.",Вклады_и_инвестиции
Хотим быть спонсорами,Сотрудничество_и_реклама
Вещь сломалась сразу,Качество_товара_или_услуги
"Ноутбук из вашего магазина, купленный на прошлой неделе, уже не заряжается. Порт USB-C, похоже, неисправен изначально.",Качество_товара_или_услуги
"таавр пришёл с трещиной, это недопустимо прошу связатса",Качество_товара_или_услуги
"Уважаемая служба поддержки. Обращаюсь по вопросу несанкционированного списания средств с игрового баланса. В период с 10 по 12 число были проведены несколько транзакций, которые я не инициировал. Полагаю, что мой аккаунт был скомпрометирован. Прошу провести проверку и принять меры.",Гейминг_и_донат
"Мы с мужем планируем купить квартиру в новостройке, хотели бы узнать про льготную ипотеку для молодых семей.",Кредиты_и_ипотеки
"Скажите пожалуйста, если я сейчас открою вклад на три года по ставке 15%, а через год ЦБ поднимет ставку до 18% — я буду терять, оставаясь на своём вкладе? Есть ли у вас вклады с плавающей ставкой, которая привязана к ключевой ставке ЦБ? Это вообще выгодный инструмент или лучше придерживаться фиксированной?",Вклады_и_инвестиции
"Здравствуйте, я Иван И., хочу подать официальную жалобу. При оформлении ипотечного кредита сотрудник вашего банка в устной форме сообщил ставку 9.2% годовых, однако в подписанном договоре указана ставка 11.5%. Считаю данный факт вводящим в заблуждение и требую разъяснений и корректировки условий договора.",Кредиты_и_ипотеки
"Уважаемые специалисты, обращаюсь с просьбой прояснить ситуацию. Три месяца назад я внёс на ИИС сумму 400 000 рублей и приобрёл корпоративные облигации. Вчера увидел в приложении, что одна из компаний-эмитентов объявила о реструктуризации долга. Не совсем понимаю, что это означает для моих вложений и могу ли я потерять вложенные средства. Прошу связать меня с квалифицированным инвестиционным консультантом для разбора ситуации.",Вклады_и_инвестиции
"Мне нужен совет. Сейчас у меня есть 300 000 на накопительном счёте и 200 000 на текущем. Ипотека через 8 месяцев — надо будет внести первоначальный взнос. Куда лучше положить деньги на эти 8 месяцев? Хочу максимально сохранить и немного заработать, но деньги должны быть доступны ровно через 8 месяцев.",Вклады_и_инвестиции
Заказал дизайн-проект интерьера. В финальных чертежах обнаружил ошибки в размерах — стена задокументирована с разницей в 30 сантиметров.,Качество_товара_или_услуги
"Добрый день! Я фотограф, и у меня есть предложение о сотрудничестве. Могу предоставить вам эксклюзивные качественные фотографии для контента в обмен на размещение информации обо мне и моих услугах на вашей платформе. Думаю, это выгодно для обеих сторон — вы получаете уникальный визуальный контент, я — новых клиентов.",Сотрудничество_и_реклама
"Привет! Мы запускаем маркетплейс для творческих людей — художников, иллюстраторов, дизайнеров. Ищем медиапартнёров, которые разделяют нашу идею поддержки независимых авторов. Нам интересен не просто рекламный пост, а полноценное партнёрство: совместные конкурсы, интервью с авторами, помощь в продвижении лучших работ. Если вам близка эта тема — давайте поговорим!",Сотрудничество_и_реклама
"Услуга химчистки выполнена ужасно: пятно не вывели, зато добавили новую затяжку на ткани.",Качество_товара_или_услуги
ипотека или аренда что выгоднее,Кредиты_и_ипотеки
"Добрый день. Хотел бы уточнить: какая максимальная сумма может храниться на накопительном счёте с начислением процентов на полный остаток? Читал, что у некоторых банков есть ограничение, например, проценты начисляются только на первые 1,5 млн. Это так у вас?",Вклады_и_инвестиции
"Здравствуйте! Я владелец сети языковых школ. Хочу запустить рекламу перед началом нового учебного сезона. Аудитория, которую ищу — родители школьников и студенты. Есть ли у вас возможность охватить именно эту аудиторию? Напишите об условиях.",Сотрудничество_и_реклама
"Приобрёл кресло, через месяц спинка стала люфтить и скрипеть. За такие деньги ожидал большего срока службы.",Качество_товара_или_услуги
"Интересует семейная ипотека под 6%, у нас двое детей, подходим ли мы под условия программы?",Кредиты_и_ипотеки
"Добрый день, интерисует реклама в вашей расылке. Какая у вас абонентская база и почём размещение?",Сотрудничество_и_реклама
"Подскажите, можно ли перенести дату ежемесячного платежа по кредиту? Зарплату теперь дают позже.",Кредиты_и_ипотеки
"Добрый день, уважаемые коллеги. Наша компания занимается разработкой корпоративного программного обеспечения. В рамках развития нашего партнёрского канала продаж мы ищем компании, готовые рекомендовать наши решения своим клиентам за вознаграждение. Реферальная программа предусматривает выплату процента с каждой совершённой сделки. Если ваша аудитория состоит из бизнес-пользователей, это может стать интересным источником дохода для вас. Хотели бы обсудить детали?",Сотрудничество_и_реклама
"в прошлом году открыл вклад на год, сейчас хочу закрыть",Вклады_и_инвестиции
аккаунт не найден,Гейминг_и_донат
Прошу предоставить официальный ответ на мою претензию о качестве оказанных строительных работ в письменной форме.,Качество_товара_или_услуги
Микроволновка греет только по краям тарелки. Центр остаётся холодным. Явная проблема с равномерностью нагрева.,Качество_товара_или_услуги
"Добрый день! Я представляю сеть фитнес-клубов. Хотим запустить совместную акцию перед летним сезоном: ваши подписчики получают льготные условия вступления, мы размещаем рекламные материалы. Интересует ли вас подобный формат взаимодействия?",Сотрудничество_и_реклама
"Добрый день! Я представляю крупную страховую компанию. Мы ищем новые digital-каналы для продвижения продуктов страхования жизни и здоровья. Нас интересует аудитория людей в возрасте 30-50 лет с доходом выше среднего. Пришлите, пожалуйста, данные по аудитории.",Сотрудничество_и_реклама
"хочу перевести деньги с накопительного счёта на вклад, это возможно?",Вклады_и_инвестиции
можно ли частично снять деньги с депозита,Вклады_и_инвестиции
Обсудим спонсорство?,Сотрудничество_и_реклама
Плитку в ванной вы клали месяц назад. Уже три штуки отвалились. Клей и затирку выбрали явно неподходящие.,Качество_товара_или_услуги
диверсификация активов как сделать,Вклады_и_инвестиции
Обивка на новом кресле начала пилиться по швам уже через два месяца. При ежедневном использовании это недопустимый срок.,Качество_товара_или_услуги
"Хочу сделать частичное досрочное погашение ипотеки, как лучше — уменьшить срок или ежемесячный платёж?",Кредиты_и_ипотеки
"Подал заявку на кредит онлайн три дня назад, статус до сих пор 'на рассмотрении', что происходит?",Кредиты_и_ипотеки
Прогресс не сохраняется,Гейминг_и_донат
"Уведомляю о намерении обратиться в Роспотребнадзор в случае, если претензия по качеству товара не будет рассмотрена в десятидневный срок.",Качество_товара_или_услуги
Добрый день! Представляю группу компаний в сфере недвижимости. Мы хотим разместить серию материалов о рынке жилья с нашей экспертизой и мягкой рекламой наших объектов. Как вы относитесь к такому формату нативного контента и каков порядок цен?,Сотрудничество_и_реклама
"Заметил, что с баланса каждый месяц списывается какая-то сумма, но я не помню, на что подписывался. Можно посмотреть список активных подписок?",Гейминг_и_донат
"Добрый день! Ищем амбассадора для нашего бренда. Есть ли у вас представители, которые могут нас порекомендовать?",Сотрудничество_и_реклама
"Купили детскую игрушку, она сломалась в первый же час игры. Это недопустимо для товара детской категории.",Качество_товара_или_услуги
"Фотоаппарат не фокусируется в режиме автофокуса. Это базовая функция, и она не работает.",Качество_товара_или_услуги
сколько можно заработать на вкладе за год,Вклады_и_инвестиции
"Уважаемая служба поддержки. Хочу обратить ваше внимание на массовую проблему, которую обсуждают многие игроки на форуме. После последнего патча у большой группы пользователей пропали внутриигровые достижения. У меня лично исчезло 47 из 89 достижений, в том числе те, за получение которых я приобретал дополнительный контент. Судя по треду на форуме, проблема затронула несколько сотен человек. Когда планируется исправление? Будет ли автоматическое восстановление или нужно подавать индивидуальные заявки?",Гейминг_и_донат
"Хочу подробно описать ситуацию. Приобрёл квартиру по ДДУ в 2022 году, взял ипотеку. Застройщик нарушил сроки, дом сдан только сейчас. Всё это время я исправно платил ипотеку и одновременно снимал жильё. Слышал, что в такой ситуации можно требовать неустойку от застройщика. Можно ли направить эту неустойку на досрочное погашение ипотеки?",Кредиты_и_ипотеки
Слетели достижения,Гейминг_и_донат
как узнать ставку по текущему депозиту,Вклады_и_инвестиции
Промокод недействителен,Гейминг_и_донат
"Я думал что это бесплатная игра, но за нормальный игровой процесс нужно постоянно платить. Хочу полностью удалить аккаунт.",Гейминг_и_донат
"Купил пропуск, пусто",Гейминг_и_донат
"Платёж по кредиту списался дважды в этом месяце, хочу вернуть переплату.",Кредиты_и_ипотеки
фонды денежного рынка,Вклады_и_инвестиции
"Хочу сдавать ипотечную квартиру в аренду, это допускается условиями договора?",Кредиты_и_ипотеки
"Потратил все монеты на апгрейд оружия, но характеристики не изменились. Деньги ушли, эффекта нет.",Гейминг_и_донат
могу ли я пополнить вклад после открытия,Вклады_и_инвестиции
"Добрый день! Мы ищем партнёров для продвижения нашего нового мобильного приложения в сфере здоровья и wellness. Приложение помогает пользователям отслеживать питание, сон и активность. Готовы предложить вашим подписчикам эксклюзивный промокод на премиум-доступ. Как можно организовать совместную акцию?",Сотрудничество_и_реклама
"Привет! Подскажи, когда примерно серваки починят? Уже 2 часа не могу зайти, пишет что сервер перегружен",Гейминг_и_донат
индивидуальный пенсионный план,Вклады_и_инвестиции
На основании статьи 18 ЗОЗПП прошу произвести замену товара ненадлежащего качества на аналогичный товар надлежащего качества.,Качество_товара_или_услуги
"Наша команда разрабатывает мобильное приложение для молодёжи, и мы активно ищем партнёров, которые помогут нам выйти на широкую аудиторию. Хотели бы обсудить возможность интеграции вашего бренда в нашем приложении или совместную рекламную кампанию. Готовы предложить привлекательные условия и гибкий подход к сотрудничеству.",Сотрудничество_и_реклама
"Мы блогер с аудиторией 200к+ человек, специализируемся на лайфстайл-контенте. Хотим обсудить интеграцию вашего продукта.",Сотрудничество_и_реклама
что выгоднее: облигации или депозит в 2024,Вклады_и_инвестиции
могу ли я получать доход от инвестиций ежемесячно,Вклады_и_инвестиции
можно ли пополнять вклад в любое время или только в определённые дни?,Вклады_и_инвестиции
"Добрый день. В рамках проводимой акции мне был обещан бонус в виде 200 игровых монет при первом пополнении баланса. Я пополнил счёт на 1000 рублей, однако бонусные монеты начислены не были. Прошу разобраться в данной ситуации и начислить причитающееся вознаграждение.",Гейминг_и_донат
Не могу зайти в игру,Гейминг_и_донат
объясните как работает пополняемый вклад с частичным снятием,Вклады_и_инвестиции
"Меня кикают из каждой игровой сессии примерно через 10 минут. Соединение стабильное, другие игры работают нормально.",Гейминг_и_донат
"Хей! Я веду ютуб-канал про технологии, у меня уже 80к подписчиков и неплохая вовлечённость. Хочу предложить вам интеграцию — снимаю честные обзоры, не делаю заказуху, только реальный опыт использования. Мне кажется, ваш продукт отлично зайдёт моей аудитории, потому что они как раз интересуются тем, что вы предлагаете. Готов обсудить формат и условия. Напишите, если интересно, скину стату по каналу!",Сотрудничество_и_реклама
не работает кнопка доната,Гейминг_и_донат
расскажите про программу долгосрочных сбережений,Вклады_и_инвестиции
ипотека на вторичку условия,Кредиты_и_ипотеки
Хочу взять ипотеку под залог имеющейся квартиры для покупки второго жилья — это вообще реально?,Кредиты_и_ипотеки
Хотим продвигать бренд,Сотрудничество_и_реклама
переплата по займу большая,Кредиты_и_ипотеки
"У меня военная ипотека, перевожусь в другой регион, как это повлияет на условия займа?",Кредиты_и_ипотеки
гашение кредита досрочно,Кредиты_и_ипотеки
Ваша аудитория очень подходит нашему продукту. Как можно организовать рекламную кампанию на вашей платформе?,Сотрудничество_и_реклама
"Ребята, подскажите, как вернуть товар, если он оказался ненадлежащего качества? Чек сохранён, упаковка тоже.",Качество_товара_или_услуги
"Уважаемые партнёры! Представляю туристическую компанию, специализирующуюся на экотуризме и активном отдыхе. В связи с ростом интереса к осознанным путешествиям мы планируем расширить присутствие в digital-пространстве. Ваша аудитория, судя по тематике контента, близка к нашей целевой группе. Предлагаем рассмотреть сотрудничество в формате спонсированных статей, совместных конкурсов с призами в виде туров, а также долгосрочного партнёрства с регулярными упоминаниями.",Сотрудничество_и_реклама
"Мне нужна помощь со срочным вопросом. Месяц назад я совершал покупки в игре с карты *2345. Недавно обнаружил в банковской выписке несколько транзакций за тот же период, которые не помню. Прошу предоставить детализацию платежей с моего игрового аккаунта за прошлый месяц для сверки.",Гейминг_и_донат
Аккаунт взломали,Гейминг_и_донат
Сервер недоступен сейчас,Гейминг_и_донат
Добрый день! Мы хотим стать официальным партнёром вашей платформы. Расскажите об условиях партнёрства.,Сотрудничество_и_реклама
Не могу купить валюту,Гейминг_и_донат
"Привет! Веду сообщество для мам в декрете, уже собрала 25 тысяч участниц. Ищу бренды, которые хотят выйти на эту аудиторию. Работаю честно: только те продукты, которые сама проверила. Если ваш продукт для мам и детей — давайте познакомимся и обсудим возможное сотрудничество.",Сотрудничество_и_реклама
"Плед, который позиционируется как премиальный, уже после первой стирки скатался и потерял форму.",Качество_товара_или_услуги
"Я работаю в IT-компании, которая включена в реестр Минцифры. Хочу воспользоваться IT-ипотекой. Моя зарплата составляет около 180 тысяч рублей в месяц, работаю по трудовому договору. Квартиру хочу купить в новостройке в Санкт-Петербурге. Подскажите, все ли условия я соблюдаю и каков следующий шаг для подачи заявки?",Кредиты_и_ипотеки
"Не могу использовать игровой бонус, который получил за день рождения. При попытке активации пишет 'срок действия истёк', хотя с дня рождения прошло только 2 дня.",Гейминг_и_донат
налоговый вычет по ИИС,Вклады_и_инвестиции
"Здравствуйте! Хочу узнать, есть ли у вас программа лояльности для давних пользователей. Играю уже 5 лет и было бы приятно получать какие-то бонусы.",Гейминг_и_донат
